Document;Van E31 CIDOC:Document.	
InformatieObject.algemeenGebruik;Van P101 CIDOC:Thing:hasGeneralUse.	
InformatieObject.dimensie;Van P43 CIDOC:Thing.hasDimension.	
InformatieObject.gaatOver;Van P129 CIDOC:PropositionalObject.isAbout.	
InformatieObject.lijktOp;Van P130 CIDOC:Thing.showsFeturesOf.	
InformatieObject.^voorkeurIdentificator;Zie Entiteit voor herkomst.	
InformatieObject.^voorbeeldVan;Zie Entiteit voor herkomst.	
InformatieObject:OnderworpenAan;Van P104 CIDOC:LegalObject.isSubjectTo.	
InformatieObject:Omvat;Van P165 CIDOC:InformationObject.incorporates.	
InformatieObject:HeeftComponent;Van P148 CIDOC:PropositionalObject.hasComponent.	
InformatieObject:BestaatUit;Van P106 CIDOC:SymbolicObject.isComposedOf.	
Publicatieexpressie;Van F24 FRBR:PublicationExpression.	
VisueelItem;Van E37 CIDOC:VisualItem.	
VisueelItem.steltVoor;Van P138 CIDOC:VisualItem.represents. Enkel relevant als het InformatieObject vh type VisueelItem is.	
Object;Van E1 CIDOC:CRMEntity.	
Object.voorkeurIdentificator;Van P48 CIDOC:CRMEntity:hasPreferredIdentifire, subproperty van CIDOC:CRMEntity:isIdentifiedBy. Datatype veranderd van CIDOC:Identifier naar OSLO:Identifier. Daardoor valt de relatie CIDOC:Appellation.hasAlternativeForm weg. De string vd Identifier mapt op CIDOC:SymbolicObject.hasSymbolicContent.	
Object.type;Van P2 CIDOC:CRMEntity:hasType. Waarde uit een specifiek conceptscheme of om het even welk concept?  	
Object.voorbeeldVan;Van P137 CIDOC:CRMEntity.exemplified, subtype van CIDOC:CRMEntity.hasType. Waarde uit een specifiek conceptscheme of om het even welk concept? OPMERKING:We negeren hier P13.1 die zegt wat het type voorbeeld is, bv een prototype/archetype/etc.	
Object.nota;Van P3 CIDOC:CRMEntity:hasNote. OPMERKING: we negeren hier hier P3.1 ttz het type nota. OPMERKING: Datatype veranderd van String naar Taalstring.	
Manifestatieproducttype;Van F3 FRBR:ManifestationProductType.	
Manifestatieproducttype.dimensie;Van CLP53 FRBR:ManifestationProductType.shouldHaveDimension.	
Manifestatieproducttype.aantalOnderdelen;Van CLP57 FRBR:ManifestationProductType.shouldHaveNumberOfParts.	
Manifestatieproducttype.materiaal;Van CLP45 FRBR:ManifestationProductType.shouldConsistOf.	
Manifestatieproducttype.titel;Van P102 CIDOC:HumanMadeThing.hasTitle. Subproperty van P1 CIDOC:CRMEntity.isIdentified. Datatype verandert van CIDOC:Title naar OSLO-Generiek:Taalstring. Daardoor valt de relatie CIDOC:Appellation.hasAlternativeForm weg. De string vd Title mapt op CIDOC:SymbolicObject.hasSymbolicContent. Een CIDOC:Title is tevens een CIDOC:LinguisticObject en erft zo een attribuut hasLanguage over dat mapt op de taal vd taalstring.	
Manifestatieproducttype:OnderworpenAan;Van P104 CIDOC:LegalObject.isSubjectTo.	
Collectie;Van E78 CIDOC:Collection.	
Collectie.beschrijving;Van CDAP:Collection.isDescribedBy.	
Collectie.dienst;Van CDAP:Collection.isAccessedBy. OPMERKING: datatype is CDAP:Service met Agent als provider.	
Collectie.titel;Van P102 CIDOC:HumanMadeThing.hasTitle. Subproperty van P1 CIDOC:CRMEntity.isIdentified. Datatype verandert van CIDOC:Title naar OSLO-Generiek:Taalstring. Daardoor valt de relatie CIDOC:Appellation.hasAlternativeForm weg. De string vd Title mapt op CIDOC:SymbolicObject.hasSymbolicContent. Een CIDOC:Title is tevens een CIDOC:LinguisticObject en erft zo een attribuut hasLanguage over dat mapt op de taal vd taalstring.	
Collectie.gebruik;Van P103 CIDOC:ManmadeThing:wasIntendedFor.	
Collectie.beeldtUit;Van P62 CIDOC.PhysicalManMadeThing.depicts.	
Collectie.toont;Van P65 CIDOC:PhysicalManMadeThing.showsVisualItem. OPGELET: typeWerk moet "informatieobject-visueelItem" zijn.	
Collectie.conditie;Van P44 CIDOC:PhysicalThing.hasCondition.	
Collectie.locatie;Van P55,P54 CIDOC:(Location). Komt ook overeen met CDAP:Collection.isLocatedin. OPMERKING: heeft CDAP:Service als datatype met Agent als administrator.	
Collectie.algemeenGebruik;Van P101 CIDOC:Thing:hasGeneralUse.	
Collectie.dimensie;Van P43 CIDOC:Thing.hasDimension. 	
Collectie.lijktOp;Van P130 CIDOC:Thing.showsFeturesOf.	
Collectie.^voorkeuridentificator;Zie Entiteit voor herkomst.	
Collectie.^voorbeeldVan;Zie Entiteit voor herkomst.	
Collectie:OnderworpenAan;Van P104 CIDOC:LegalObject.isSubjectTo.	
Collectie:HeeftItem;Van CDAP:Item.isgatheredIn. Overbodig gezien P46 CIDOC.PhysicalThing.isComposedOf.	
Collectie:Bestaatuit;Van P46 CIDOC:PhysicalThing.bestaatUit.	
Recht;Van E30 CIDOC:Recht.	
Recht.titel;Van P102 CIDOC:HumanMadeThing.hasTitle. Subproperty van P1 CIDOC:CRMEntity.isIdentified. Datatype verandert van CIDOC:Title naar OSLO-Generiek:Taalstring. Daardoor valt de relatie CIDOC:Appellation.hasAlternativeForm weg. De string vd Title mapt op CIDOC:SymbolicObject.hasSymbolicContent. Een CIDOC:Title is tevens een CIDOC:LinguisticObject en erft zo een attribuut hasLanguage over dat mapt op de taal vd taalstring.	
Recht.gebruik;Van P103 CIDOC:ManmadeThing:wasIntendedFor.	
Recht.refereertNaar;Van P67 CIDOC:PropositionalObject.refersTo.	
Recht.gaatOver;Van P129 CIDOC:PrpositionalObject.isAbout.	
Recht.algemeenGebruik;Van P101 CIDOC:Thing:hasGeneralUse.	
Recht.dimensie;Van P43 CIDOC:Thing.hasDimension. datatype CIDOC:Dimension vervangen door OSLO-Generiek:KwantitatieveWaarde.	
Recht.lijktOp;Van P130 CIDOC:Thing.showsFeaturesOf.	
Recht.^voorkeuridentificator;Zie Entiteit voor herkomst.	
Recht:OnderworpenAan;Van P104 CIDOC:LegalObject.isSubjectTo.	
Recht:OnderworpenAan;Van P104 CIDOC:LegalObject.isSubjectTo.	
Recht:OnderworpenAan;Van P104 CIDOC:LegalObject.isSubjectTo.	
Recht:OnderworpenAan;Van P104 CIDOC:LegalObject.isSubjectTo.	
Recht:Heeft;Van P75.CIDOC.Actor.posesses.	
MensgemaaktObject;Van E22 CIDOC:ManmadeObject.	
MensgemaaktObject.titel;Van P102 CIDOC:HumanMadeThing.hasTitle. Subproperty van P1 CIDOC:CRMEntity.isIdentified. Datatype verandert van CIDOC:Title naar OSLO-Generiek:Taalstring. Daardoor valt de relatie CIDOC:Appellation.hasAlternativeForm weg. De string vd Title mapt op CIDOC:SymbolicObject.hasSymbolicContent. Een CIDOC:Title is tevens een CIDOC:LinguisticObject en erft zo een attribuut hasLanguage over dat mapt op de taal vd taalstring.	
MensgemaaktObject.gebruik;Van P103 CIDOC:ManmadeThing:wasIntendedFor.	
MensgemaaktObject.locatie;Van P55,P54 CIDOC:(Location). Datatype veranderd van E53 CIDOC:Place naar OSLO-Generiek:Locatie.	
MensgemaaktObject.permanenteLocatie;Van P54 CIDOC:PhysicalObject.hasCurrentPermantLocation.	
MensgemaaktObject.aantalOnderdelen;Van P57 CIDOC:P57	
MensgemaaktObject.conditie;Van P44 CIDOC:PhysicalThing.hasCondition.	
MensgemaaktObject.materiaal;Van P45 CIDOC:PhysicalThing.consitsOf.	
MensgemaaktObject.sectie;Van P59 CIDOC:PhysicalThing.hasSection	
MensgemaaktObject.bezet;Van P156 CIDOC:PhysicalThing.occupies.	
MensgemaaktObject.algemeenGebruik;Van P101 CIDOC:Thing:hasGeneralUse.	
MensgemaaktObject.dimensie;Van P43 CIDOC:Thing.hasDimension.	
MensgemaaktObject.lijktOp;Van P130 CIDOC:Thing.showsFeturesOf.	
MensgemaaktObject.^voorkeuridentificator;Zie Entiteit voor herkomst.	
MensgemaaktObject.beeldtUit;VAN 62 CIDOC:PhysicalHumanMadeThing.depicts.	
MensgemaaktObject.^voorbeeldVan;Zie Entiteit voor herkomst.	
MensgemaaktObject:BestaatUit;Van P46 CIDOC:PhysicalThing.bestaatUit.	
MensgemaaktObject:OnderworpenAan;Van P104 CIDOC:LegalObject.isSubjectTo.	
MensgemaaktObject:HeeftItem;Van CDAP:Item.isgatheredIn. Overbodig gezien P46 CIDOC.PhysicalThing.isComposedOf.	
